1,Los Angeles,Los Angeles,"3,923,341",
2,San Diego,San Diego,"1,411,034",
3,San Jose,Santa Clara,"1,029,782",
4,San Francisco,San Francisco,"875,010",
5,Fresno,Fresno,"546,770",
6,Sacramento,Sacramento,"515,673",
7,Long Beach,Los Angeles,"467,730",
8,Oakland,Alameda,"435,514",
9,Bakersfield,Kern,"397,392",
10,Anaheim,Orange,"353,468",
11,Santa Ana,Orange,"331,369",
12,Riverside,Riverside,"324,302",
13,Stockton,San Joaquin,"320,876",
14,Chula Vista,San Diego,"274,449",
15,Irvine,Orange,"271,564",
16,Fremont,Alameda,"234,239",
17,Santa Clarita,Los Angeles,"221,572",
18,Modesto,Stanislaus,"219,294",
19,San Bernardino,San Bernardino,"216,291",
20,Fontana,San Bernardino,"213,944",
21,Moreno Valley,Riverside,"209,426",
22,Oxnard,Ventura,"204,675",
23,Glendale,Los Angeles,"203,834",
24,Huntington Beach,Orange,"196,874",
25,Ontario,San Bernardino,"182,004",
26,Elk Grove,Sacramento,"178,124",
27,Oceanside,San Diego,"176,754",
28,Rancho Cucamonga,San Bernardino,"175,131",
29,Garden Grove,Orange,"172,476",
30,Santa Rosa,Sonoma,"171,711",
31,Corona,Riverside,"169,454",
32,Lancaster,Los Angeles,"161,372",
33,Salinas,Monterey,"160,206",
34,Hayward,Alameda,"158,089",
35,Palmdale,Los Angeles,"156,074",
36,Sunnyvale,Santa Clara,"153,827",
37,Escondido,San Diego,"151,688",
38,Pomona,Los Angeles,"151,319",
39,Roseville,Placer,"146,875",
40,Pasadena,Los Angeles,"145,306",
41,Torrance,Los Angeles,"144,832",
42,Fullerton,Orange,"139,431",
43,Visalia,Tulare,"139,254",
44,Orange,Orange,"137,366",
45,Santa Clara,Santa Clara,"130,746",
46,Concord,Contra Costa,"129,273",
47,Victorville,San Bernardino,"127,170",
48,Thousand Oaks,Ventura,"125,426",
49,Simi Valley,Ventura,"124,468",
50,Clovis,Fresno,"121,834",
51,Fairfield,Solano,"118,005",
52,Vallejo,Solano,"117,846",
53,Berkeley,Alameda,"116,761",
54,El Monte,Los Angeles,"116,465",
55,Carlsbad,San Diego,"115,501",
56,Murrieta,Riverside,"115,172",
57,Antioch,Contra Costa,"112,848",
58,Costa Mesa,Orange,"112,780",
59,Temecula,Riverside,"112,771",
60,Chico,Butte,"111,490",
61,Downey,Los Angeles,"111,425",
62,Inglewood,Los Angeles,"110,159",
63,Richmond,Contra Costa,"110,130",
64,Daly City,San Mateo,"108,599",
65,Jurupa Valley,Riverside,"108,097",
66,Santa Maria,Santa Barbara,"107,445",
67,West Covina,Los Angeles,"105,593",
68,San Buenaventura,Ventura,"105,415",
69,Norwalk,Los Angeles,"105,393",
70,Burbank,Los Angeles,"103,969",
71,Vista,San Diego,"103,268",
72,El Cajon,San Diego,"103,243",
73,San Mateo,San Mateo,"103,045",
74,Rialto,San Bernardino,"102,567",
75,Menifee,Riverside,"99,686",
76,Tracy,San Joaquin,"98,601",
